rank,zp_minmax,sim_mwh,dominant_mwh,heat_mwh,cool_mwh,i1,i2,i3,i4,i5
331,0.018761093,11419.920,608702.281,145728.299,474393.902,9,10,17,18,20
332,0.018770057,11448.605,609939.816,146949.041,474439.379,10,13,15,18,20
333,0.018779059,11421.020,608178.498,145309.263,474290.255,10,12,17,18,20
334,0.018782208,11409.292,607452.096,144732.121,474129.267,10,15,17,18,20
335,0.018783098,11448.980,609536.288,146232.789,474752.480,9,10,12,18,20
336,0.018786816,11485.213,611344.321,148013.932,474815.602,10,11,13,18,20
337,0.018788016,11453.131,609597.655,146462.217,474588.569,9,13,17,18,20
338,0.018788573,11447.287,609268.586,146836.995,473878.878,10,13,16,18,20
339,0.018790555,11439.827,608807.310,145655.646,474591.491,9,10,15,18,20
340,0.018794902,11475.933,610587.568,147548.734,474514.767,10,13,14,18,20
341,0.018799628,11435.604,608288.851,145236.611,474487.844,10,12,15,18,20
342,0.018801799,11408.561,606780.279,144620.075,473568.765,10,16,17,18,20
343,0.018802778,11452.317,609075.786,146043.181,474484.922,12,13,17,18,20
344,0.018803110,11438.892,608351.080,145466.039,474323.934,13,15,17,18,20
345,0.018804604,11449.245,608853.257,145797.012,474505.489,10,11,17,18,20
346,0.018808564,11438.173,608136.417,145543.600,474030.989,9,10,16,18,20
347,0.018812559,11439.853,608096.615,145331.813,474204.655,10,14,17,18,20
348,0.018812752,11479.702,610208.549,146720.538,474967.714,9,10,11,18,20
349,0.018814782,11485.084,610428.769,146966.707,474947.146,9,12,13,18,20
350,0.018816536,11472.502,609703.220,146389.564,474786.158,9,13,15,18,20
351,0.018817881,11468.625,609453.593,146255.339,474666.879,9,10,14,18,20
352,0.018818489,11426.995,607221.695,144172.644,474476.046,9,15,17,18,20
353,0.018819935,11421.670,606892.107,144547.423,473766.354,10,15,16,18,20
354,0.018821711,11475.412,609690.157,146301.502,474864.067,10,11,12,18,20
355,0.018822135,11442.804,607944.016,144749.786,474637.034,9,12,17,18,20
356,0.018822324,11436.730,607615.178,145124.565,473927.343,10,12,16,18,20
357,0.018826452,11479.460,609751.627,146530.930,474700.156,11,13,17,18,20
358,0.018828009,11441.331,607676.094,145353.993,473763.432,13,16,17,18,20
359,0.018828747,11470.151,609182.889,145970.529,474682.511,12,13,15,18,20
360,0.018829973,11466.714,608960.724,145724.360,474703.079,10,11,15,18,20
361,0.018830143,11466.300,608933.236,145836.303,474563.232,10,12,14,18,20
